date,STUSPS,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,populatio,pop100k
1/22/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
1/23/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
1/24/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
1/25/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
1/26/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
1/27/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
1/28/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
1/29/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
1/30/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
1/31/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/1/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/2/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/3/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/4/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/5/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/6/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/7/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/8/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/9/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/10/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/11/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/12/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/13/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/14/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/15/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/16/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/17/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/18/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/19/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/20/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/21/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/22/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/23/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/24/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/25/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/26/2020,AL,0,0,0,0,0,0,0,0,0,0,4903185,49.03185
2/27/2020,AL,0,0,0,0,0,1,0,1,1,1,4903185,49.03185
2/28/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
2/29/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/1/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/2/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/3/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/4/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/5/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/6/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/7/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/8/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/9/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/10/2020,AL,0,0,0,0,0,1,0,1,0,0,4903185,49.03185
3/11/2020,AL,3,3,0,3,0,1,0,1,0,0,4903185,49.03185
3/12/2020,AL,4,4,0,1,0,1,0,1,0,0,4903185,49.03185
3/13/2020,AL,8,8,0,4,0,1,0,1,0,0,4903185,49.03185
3/14/2020,AL,15,15,0,7,0,1,0,1,0,0,4903185,49.03185
3/15/2020,AL,28,28,0,13,0,2,1,1,1,0,4903185,49.03185
3/16/2020,AL,36,36,0,8,0,2,1,1,0,0,4903185,49.03185
3/17/2020,AL,51,51,0,15,0,3,2,1,1,0,4903185,49.03185
3/18/2020,AL,61,61,0,10,0,3,2,1,0,0,4903185,49.03185
3/19/2020,AL,88,87,1,27,1,4,2,2,1,1,4903185,49.03185
3/20/2020,AL,115,109,6,27,5,4,2,2,0,0,4903185,49.03185
3/21/2020,AL,149,141,8,34,2,4,2,2,0,0,4903185,49.03185
3/22/2020,AL,180,167,13,31,5,4,2,2,0,0,4903185,49.03185
3/23/2020,AL,224,210,14,44,1,5,3,2,1,0,4903185,49.03185
3/24/2020,AL,294,276,18,70,4,6,4,2,1,0,4903185,49.03185
3/25/2020,AL,467,443,24,173,6,10,7,3,4,1,4903185,49.03185
3/26/2020,AL,569,538,31,102,7,12,9,3,2,0,4903185,49.03185
3/27/2020,AL,677,645,32,108,1,22,19,3,10,0,4903185,49.03185
3/28/2020,AL,794,756,38,117,6,27,24,3,5,0,4903185,49.03185
3/29/2020,AL,873,833,40,79,2,32,29,3,5,0,4903185,49.03185
